Final Estimator C,Tree Max Depth,Boost N Estimators,Boost Learning Rate,Mean F1-Score,Std F1-Score
1,5,100,0.1,0.7572206775478814,0.004027994837144694
1,5,200,0.05,0.756738436083696,0.0037545145495791227
10,5,200,0.05,0.756706303705273,0.004251420607800811
10,5,100,0.1,0.7566742410871695,0.0036637066141619406
1,10,100,0.1,0.756593869447592,0.004403212772338486
1,10,200,0.05,0.7565295543082927,0.004242085818868834
10,10,100,0.1,0.7564813576784448,0.004264468174097782
0.1,5,200,0.1,0.7564652818002998,0.003223653051922545
1,5,200,0.1,0.7564170309124254,0.0037270445664600127
10,7,100,0.1,0.7563848714049891,0.0040627068602189145
1,7,100,0.1,0.7562884432651333,0.004437223366157564
1,10,200,0.1,0.7562883851315335,0.003877757792967705
10,10,200,0.05,0.7562563496424434,0.004439142263549534
0.1,10,200,0.05,0.7562081181324356,0.004393837822186977
0.1,10,100,0.1,0.7561920190008509,0.004433860776752506
10,5,200,0.1,0.7561920112497043,0.003839547231687827
10,7,200,0.1,0.7561598439911211,0.0033733150109461875
10,10,200,0.1,0.7561437448595364,0.003928120405373329
0.1,10,200,0.1,0.756063435229132,0.004413860894898978
10,7,200,0.05,0.7559991317165525,0.004530862833956857
0.1,5,100,0.1,0.755982986078088,0.0034599498435187426
1,7,200,0.1,0.755950888579825,0.00333549763468069
1,7,200,0.05,0.7558063335704409,0.004420632277190543
0.1,7,100,0.1,0.7557418982883685,0.003583638232379738
0.1,7,200,0.1,0.7557257448987571,0.004028706462674091
0.1,5,200,0.05,0.7556615150220709,0.004160283653061177
0.1,7,200,0.05,0.7552115687103883,0.00313398699235375
1,5,100,0.05,0.7530095493351571,0.0025510683106002366
10,5,100,0.05,0.752897111201903,0.0017103738456889913
10,10,100,0.05,0.7522701519542541,0.003474365057921193
1,10,100,0.05,0.7520773073012623,0.003283165718315031
1,7,100,0.05,0.7517558750009785,0.00310338024761063
10,7,100,0.05,0.7516916141197058,0.0031139888351177482
0.1,10,100,0.05,0.7513378556623328,0.004299351337185588
0.1,5,100,0.05,0.7510807423769217,0.00367624651144627
0.1,7,100,0.05,0.7495538711280407,0.0030400117579791985
