value,params_C,params_learning_rate,params_n_estimators
0.7774298129497506,6.965676204346375,0.4120122430702897,16
0.7768424261808169,82.33755623761365,0.446081206068055,14
0.7768154671277128,51.07133905533504,0.8169053939152997,15
0.7762509294405884,15.803776403516647,0.4980274021214865,15
0.7755805531797539,64.81128494137432,0.8869486293563873,13
0.7732461924146805,43.55972863665874,0.9520709947223742,13
0.7726710763142699,0.6557487861108688,0.6103840335026695,25
0.7672723345759034,0.045021090144035984,0.22198646540283595,19
0.7669934484079937,0.003553217375188952,0.143772708128526,27
0.7658941054374663,5.332501705451201,0.3715524150153068,10
0.7645408501613717,0.010677490003957887,0.25383134286928277,11
0.7620010479998347,0.11531389402440792,0.11889597981167666,22
0.759075059198387,13.644704844828292,0.4090753965098654,6
0.7581474656285974,0.009353461774477625,0.0446158723007666,29
0.7577797083805381,7.594175852288034,0.0769791908254967,17
0.754632892910607,0.2812335796823859,0.031378903691028574,25
0.7522125607872472,0.9620832879425921,0.013754877892407794,30
0.7519090684193073,2.365486074343075,0.01947487764417552,19
0.7518036363715418,26.666134713289377,0.01621183253266753,20
0.7498695045612492,2.2671597758345277,0.01276372203006323,8
