mean_test_accuracy,mean_test_roc_auc,param_estimator__C,param_estimator__penalty,param_estimator__solver,param_estimator__max_iter
0.6326727457359587,0.845657293960097,0.01,l1,liblinear,100
0.6358549557382397,0.8475575803148242,0.01,l1,saga,100
0.6368676895544851,0.8520469600831453,0.01,l2,liblinear,100
0.6411590886418805,0.8537441432040703,0.01,l2,saga,100
0.632624529728244,0.8456567874060352,0.01,l1,liblinear,1000
0.6358549557382397,0.8475568587257275,0.01,l1,saga,1000
0.6368676895544851,0.8520469600831453,0.01,l2,liblinear,1000
0.6411590886418805,0.8537437387983744,0.01,l2,saga,1000
0.645595391540259,0.8583376559662653,0.1,l1,liblinear,100
0.6451614939777078,0.8583934170806453,0.1,l1,saga,100
0.6455470360119049,0.8581745113671679,0.1,l2,liblinear,100
0.646173913872514,0.85834803549878,0.1,l2,saga,100
0.6456436075479737,0.8583381458338245,0.1,l1,liblinear,1000
0.6451614939777078,0.8583944899512643,0.1,l1,saga,1000
0.6455470360119049,0.8581745113671679,0.1,l2,liblinear,1000
0.646173913872514,0.8583479894645688,0.1,l2,saga,1000
0.6450648875614793,0.8583550669660927,1.0,l1,liblinear,100
0.6451130919424738,0.85836308333711,1.0,l1,saga,100
0.6448238307763464,0.8582467338635087,1.0,l2,liblinear,100
0.644100532527028,0.8582598718581715,1.0,l2,saga,100
0.6450166715537646,0.8583576863008959,1.0,l1,liblinear,1000
0.6451130919424738,0.8583633968562221,1.0,l1,saga,1000
0.6448238307763464,0.8582467338635087,1.0,l2,liblinear,1000
0.6440523165193135,0.8582606437931348,1.0,l2,saga,1000
0.6437147928385916,0.8581450404982652,10.0,l1,liblinear,100
0.6437147928385916,0.8581487542927455,10.0,l1,saga,100
0.6434736895465789,0.8581397132374541,10.0,l2,liblinear,100
0.6434737011732988,0.858138929708692,10.0,l2,saga,100
0.643666576830877,0.858144563157331,10.0,l1,liblinear,1000
0.6436183724498825,0.8581495347512946,10.0,l1,saga,1000
0.6434736895465789,0.8581397132374541,10.0,l2,liblinear,1000
0.6434737011732988,0.8581376825233764,10.0,l2,saga,1000
0.6434736895465788,0.8581185087250326,100.0,l1,liblinear,100
0.6435219171810134,0.8581190301939472,100.0,l1,saga,100
0.6435219171810134,0.8581186427591009,100.0,l2,liblinear,100
0.6435219171810134,0.858118122057561,100.0,l2,saga,100
0.6434736895465788,0.8581183368612063,100.0,l1,liblinear,1000
0.6435219171810134,0.8581192391677007,100.0,l1,saga,1000
0.6435219171810134,0.8581186427591009,100.0,l2,liblinear,1000
0.6435219171810134,0.8581181263623783,100.0,l2,saga,1000
0.6435701331887279,0.8581180509486123,1000.0,l1,liblinear,100
0.6435701331887279,0.858116428498558,1000.0,l1,saga,100
0.6435701331887279,0.8581162721000218,1000.0,l2,liblinear,100
0.6435701331887279,0.8581166611005733,1000.0,l2,saga,100
0.6435701331887279,0.8581182700179244,1000.0,l1,liblinear,1000
0.6435701331887279,0.8581165179503591,1000.0,l1,saga,1000
0.6435701331887279,0.8581162721000218,1000.0,l2,liblinear,1000
0.6435701331887279,0.8581164079129986,1000.0,l2,saga,1000
