value,params_learning_rate,params_max_depth,params_min_samples_leaf,params_min_samples_split,params_n_estimators
0.840303944534172,0.12621186329750728,7,10,8,227
0.8402297044547696,0.08300395672988684,8,10,8,295
0.8400371786209533,0.1521491905724189,7,8,11,141
0.8398556990883153,0.09824908693169118,8,4,2,258
0.839549986425622,0.0431987430391079,6,9,5,226
0.839222151905344,0.07701473194708301,9,10,7,293
0.8390420911720546,0.013072479696226848,7,6,15,268
0.8379439702200161,0.1420880079311687,9,9,5,298
0.835723809993867,0.34339718507009204,6,10,8,236
0.8343032451292662,0.011526847207173313,8,4,13,118
0.8327639962849689,0.07478906638976432,4,1,15,83
0.8286982366072035,0.01856062250549623,4,7,19,138
0.8282742175638871,0.02941818048966019,3,5,11,201
0.8274721993415619,0.1653638212177839,3,7,12,193
0.8235612253004184,0.821279124843928,4,7,19,160
0.822587500911277,0.4737295988081107,10,9,9,209
0.8196249132970154,0.04838639067165953,2,2,9,275
0.8121315857322127,0.30920163142941404,1,6,17,165
0.8113160919639608,0.27696612313096597,1,8,5,239
0.805612471885462,0.8684359363654816,10,10,2,54
