mean_test_score,param_estimator__C,param_estimator__penalty,param_estimator__solver,param_estimator__max_iter
0.7715637299461762,0.0015619838244219084,l1,liblinear,922
0.770634842592888,0.0005629356836714394,l1,saga,870
0.8408564652646886,0.11906225556537668,l2,saga,940
0.8404075806080169,144936.3324906168,l2,liblinear,559
0.5,2.5505952254715383e-06,l1,saga,991
0.8404248698369381,46.95322155952264,l1,saga,818
0.8404071753132591,6995.472465676623,l2,liblinear,452
0.815512560313808,0.001532915965612842,l2,liblinear,554
0.7819223544018797,1.2131056238345435e-06,l2,saga,394
0.5,3.239387328732339e-06,l1,liblinear,928
0.8404061869600866,32344.901533198314,l2,liblinear,523
0.8404344870314919,16.48683024102391,l2,liblinear,810
0.8410205590126056,0.12683888071413243,l1,saga,756
0.7997137960406742,8.787419317675528e-05,l2,saga,100
0.8404476476010612,1000000.0,l1,saga,303
0.8404145005009388,1000000.0,l2,saga,1000
0.8405284976796304,305.7944162618118,l1,saga,100
0.840414103152639,34853.22886680735,l1,saga,1000
0.8405284152691618,155.60056185991215,l2,saga,100
0.840600477119913,1.6541233656850667,l2,saga,100
0.8404060981612392,1000000.0,l1,liblinear,1000
0.8404204544320926,1000000.0,l1,saga,672
0.8404276663706343,1000000.0,l2,saga,503
0.8406661142963555,1.7215033250059453,l1,saga,167
0.8410266245245497,0.39076904491125264,l1,saga,1000
0.8407127488160144,0.3082396814736204,l2,liblinear,100
0.8404066943621589,3593.8650071501943,l1,liblinear,264
0.8404143666604534,68243.59666025346,l2,saga,1000
0.8404066096528849,129771.21066343671,l1,liblinear,130
0.8404165580465636,1000000.0,l1,saga,864
0.8404067953870499,1000000.0,l2,liblinear,495
0.8404160579630056,1665.7661860284106,l1,saga,910
0.8405269232966553,1000000.0,l1,saga,100
0.8405286766104242,2611.565104383141,l1,saga,100
0.8404084889889788,942.8967681889817,l2,liblinear,1000
0.8373093850361014,0.018447056448601253,l2,liblinear,100
0.840406223534876,2318.891448833076,l1,liblinear,100
0.8405538680802541,10.459732287399241,l1,saga,100
0.8404787808080293,5.304709986058346,l2,liblinear,100
0.8405295041952424,409874.9381448704,l1,saga,100
0.8404093126154265,1252.9132754578677,l2,liblinear,100
0.8406223139581203,2.914564263237352,l1,saga,100
0.8404150697321946,57.881915109392004,l2,liblinear,981
0.83949407877989,0.014892716419721033,l2,saga,105
0.8408437478516803,0.08797936200297109,l2,saga,100
0.8404209416049376,19.883843878457522,l1,liblinear,149
0.840414695953178,2905.00063368496,l2,saga,991
0.8409704607588422,0.4988606615114319,l1,liblinear,120
0.7851103841287139,9.86384038024989e-06,l2,saga,694
0.8405218777188457,5.583112897243961,l2,saga,160
